,Emoji,CountBefore,CountAfter
0,😂,3135.0,569.0
1,🎮,11.0,2.0
2,😪,91.0,11.0
3,🙃,680.0,25.0
4,🙂,348.0,31.0
5,💥,1197.0,224.0
6,🏼,122.0,
7,😡,174.0,33.0
8,💛,85.0,5.0
9,😺,6.0,1.0
10,💣,450.0,601.0
11,😭,2096.0,195.0
12,😃,150.0,2.0
13,💊,23.0,13.0
14,😏,95.0,39.0
15,💖,23.0,14.0
16,🔪,614.0,735.0
17,😤,106.0,26.0
18,🌵,10.0,9.0
19,😌,134.0,17.0
20,😶,144.0,5.0
21,☺,227.0,17.0
22,😅,260.0,16.0
23,😊,767.0,48.0
24,😠,123.0,37.0
25,😀,182.0,9.0
26,😐,250.0,12.0
27,😒,516.0,89.0
28,😄,110.0,44.0
29,😞,144.0,16.0
30,😔,304.0,24.0
31,💰,90.0,54.0
32,💀,242.0,90.0
33,😎,153.0,242.0
34,🐟,7.0,2.0
35,😢,189.0,17.0
36,😨,54.0,7.0
37,👊,166.0,95.0
38,✌,20.0,28.0
39,😬,130.0,4.0
40,⛽,1.0,28.0
41,😈,153.0,131.0
42,❌,42.0,47.0
43,😇,459.0,26.0
44,😴,46.0,14.0
45,🙄,486.0,39.0
46,😩,503.0,32.0
47,🔥,222.0,207.0
48,😷,107.0,21.0
49,✋,50.0,21.0
50,😖,105.0,3.0
51,🐍,17.0,4.0
52,💗,115.0,33.0
53,❤,117.0,97.0
54,🙍,15.0,2.0
55,🌹,63.0,87.0
56,💕,217.0,106.0
57,😍,281.0,81.0
58,😥,75.0,6.0
59,💘,97.0,48.0
60,💚,15.0,9.0
61,💔,200.0,89.0
62,🤔,36.0,8.0
63,🤗,33.0,
64,☠,66.0,58.0
65,😵,90.0,9.0
66,🚧,2.0,2.0
67,😁,183.0,14.0
68,👻,34.0,13.0
69,😱,191.0,21.0
70,🌸,16.0,3.0
71,✊,14.0,1.0
72,🎤,10.0,11.0
73,👣,1.0,
74,💸,51.0,57.0
75,🙈,86.0,15.0
76,🐔,73.0,6.0
77,🙊,36.0,11.0
78,👞,4.0,2.0
79,🚰,1.0,
80,😑,340.0,30.0
81,🚫,22.0,9.0
82,⛓,7.0,26.0
83,🙁,19.0,5.0
84,🍻,5.0,12.0
85,🌝,13.0,3.0
86,🐶,13.0,5.0
87,👩,24.0,7.0
88,😳,104.0,27.0
89,🙀,19.0,
90,😲,123.0,11.0
91,🏻,168.0,
92,😫,189.0,13.0
93,🍷,5.0,5.0
94,👋,10.0,11.0
95,🐷,29.0,2.0
96,💟,6.0,11.0
97,😜,28.0,11.0
98,♠,1.0,3.0
99,🛡,3.0,3.0
100,😣,181.0,8.0
101,💨,11.0,24.0
102,🐻,4.0,
103,🍊,50.0,3.0
104,🏿,16.0,
105,😿,55.0,2.0
106,🚙,4.0,
107,🤐,13.0,
108,😓,90.0,3.0
109,😯,30.0,2.0
110,💃,22.0,9.0
111,😼,5.0,2.0
112,😧,42.0,1.0
113,🌚,123.0,32.0
114,🙇,16.0,2.0
115,🚲,2.0,
116,🐊,3.0,3.0
117,😻,17.0,6.0
118,👀,76.0,20.0
119,😆,52.0,7.0
120,🏽,83.0,
121,🐨,1.0,
122,🍮,1.0,
123,🐒,15.0,6.0
124,🔸,2.0,
125,👏,25.0,16.0
126,💶,3.0,1.0
127,🌳,1.0,
128,⛏,10.0,13.0
129,🙅,12.0,6.0
130,💭,10.0,9.0
131,⚔,16.0,29.0
132,👽,24.0,11.0
133,💓,57.0,63.0
134,💩,25.0,15.0
135,🍑,2.0,1.0
136,👧,20.0,3.0
137,💢,24.0,9.0
138,😕,45.0,8.0
139,😉,47.0,14.0
140,📰,1.0,
141,💁,9.0,2.0
142,📺,3.0,2.0
143,🚷,2.0,1.0
144,🐥,6.0,4.0
145,☹,4.0,5.0
146,💤,5.0,6.0
147,💉,24.0,41.0
148,👮,53.0,46.0
149,👈,24.0,9.0
150,✒,1.0,1.0
151,👎,38.0,16.0
152,👸,9.0,5.0
153,🏅,8.0,2.0
154,🌐,4.0,
155,💙,47.0,31.0
156,💵,16.0,15.0
157,📚,19.0,19.0
158,🐹,3.0,2.0
159,😮,48.0,1.0
160,🗡,31.0,51.0
161,🤓,24.0,3.0
162,🙆,11.0,1.0
163,🏾,93.0,
164,🔜,2.0,6.0
165,🙉,8.0,9.0
166,😘,27.0,22.0
167,📱,11.0,2.0
168,🙌,18.0,14.0
169,🐦,8.0,
170,⚙,2.0,1.0
171,😰,43.0,7.0
172,❄,1.0,5.0
173,👆,4.0,4.0
174,💜,37.0,21.0
175,🙋,21.0,4.0
176,🏃,17.0,19.0
177,🎩,3.0,10.0
178,✂,4.0,3.0
179,🚬,57.0,37.0
180,🚨,14.0,8.0
181,👿,21.0,10.0
182,🍺,7.0,3.0
183,😟,30.0,4.0
184,😹,50.0,6.0
185,👫,6.0,2.0
186,🍕,1.0,1.0
187,🔝,11.0,3.0
188,🤕,24.0,1.0
189,🎼,4.0,3.0
190,🐧,19.0,7.0
191,😸,6.0,
192,🉐,1.0,
193,🐎,4.0,
194,🐓,8.0,2.0
195,👐,3.0,1.0
196,🍫,1.0,
197,🍃,8.0,4.0
198,💡,1.0,
199,💂,11.0,54.0
200,💯,278.0,74.0
201,🔐,5.0,4.0
202,💦,192.0,20.0
203,🃏,55.0,10.0
204,✈,1.0,1.0
205,🐸,30.0,26.0
206,🍎,3.0,1.0
207,🖐,1.0,2.0
208,😝,30.0,4.0
209,🏌,1.0,1.0
210,🌎,3.0,9.0
211,🐣,5.0,1.0
212,🗣,6.0,1.0
213,🔨,33.0,36.0
214,📲,2.0,4.0
215,🗿,10.0,5.0
216,🚕,1.0,2.0
217,🚩,1.0,1.0
218,🚓,4.0,9.0
219,🌟,12.0,6.0
220,👶,6.0,4.0
221,✨,16.0,38.0
222,💧,5.0,2.0
223,🌏,4.0,
224,💷,2.0,2.0
225,👼,7.0,10.0
226,👌,171.0,62.0
