,Emoji,Count
0,🏼,381647
1,🏋,3852
2,💪,228250
3,✌,237314
4,❤,1766052
5,😛,75670
6,😝,88965
7,🙈,195793
8,😐,65096
9,🚕,3243
10,🌐,8037
11,💨,58433
12,💍,28106
13,♒,18734
14,😭,1671746
15,🍁,45832
16,👌,334723
17,🔳,1214
18,📀,20285
19,😎,205482
20,🙅,32996
21,😪,82518
22,💓,329674
23,👶,24632
24,🏻,725750
25,😩,329110
26,😂,4810304
27,💯,260462
28,🤔,278981
29,✒,4086
30,💢,222200
31,💛,277869
32,😔,158039
33,😰,41105
34,🔫,55482
35,⬅,225129
36,✅,474973
37,➡,311609
38,💗,354246
39,💀,228622
40,🐍,23820
41,😢,263277
42,😒,195753
43,💙,481589
44,🚗,14511
45,👇,176866
46,🏆,73042
47,🏃,56724
48,🎽,1547
49,😍,1564388
50,🙏,443836
51,✋,146639
52,✨,826391
53,♥,357021
54,🍷,14466
55,🍻,45432
56,‼,206001
57,🔴,120630
58,😶,42452
59,😴,119564
60,💤,50766
61,🆙,7634
62,🆘,13509
63,😹,74075
64,😌,184570
65,💕,902590
66,😆,190777
67,😁,273805
68,😏,216874
69,👀,178367
70,🐾,31329
71,🤗,98452
72,✈,81715
73,👅,95551
74,💦,212715
75,🍆,22431
76,😑,113403
77,🔥,673328
78,🌹,230341
79,🍃,117362
80,🍫,14717
81,💭,119305
82,✊,49464
83,🏽,272298
84,😘,458702
85,🙄,345228
86,®,24271
87,⤴,47492
88,👏,553349
89,😻,138132
90,🍭,14819
91,🎐,3919
92,😙,44747
93,😊,626739
94,😱,172560
95,🙌,323866
96,😈,129565
97,🤑,45709
98,👍,347313
99,😋,127493
100,〰,9617
101,😣,57378
102,🎉,365943
103,🌼,52763
104,🐻,28211
105,🍯,8383
106,💚,264355
107,🍂,227815
108,💔,288389
109,♻,134618
110,😄,139187
111,▶,130609
112,🐰,44725
113,💁,53970
114,💘,248357
115,🍾,17554
116,🎤,57504
117,🎁,41702
118,🎂,62658
119,👊,125506
120,💥,167060
121,💞,194529
122,😇,136354
123,👦,13808
124,👧,17261
125,👩,18539
126,©,67840
127,👨,13188
128,😳,225965
129,😡,108150
130,🌙,36268
131,👉,135778
132,👑,113727
133,🌟,159757
134,🎊,63196
135,🌚,81258
136,🔝,34283
137,🌈,33279
138,👟,6184
139,📑,724
140,🚙,4987
141,📂,676
142,🐐,26018
143,🚼,1149
144,🕖,650
145,🏥,1833
146,😽,22862
147,🚠,342
148,♂,10992
149,🎶,190451
150,🤘,117054
151,🌤,3410
152,🏿,45001
153,❇,13697
154,☂,14186
155,♏,16955
156,↔,48472
157,🍊,22151
158,😞,81719
