,Emoji,Count
0,😂,5093064
1,🌚,130382
2,🙌,479464
3,💞,240191
4,😍,1732065
5,💘,245780
6,👏,541138
7,☀,287232
8,😌,198827
9,❤,1790095
10,😅,139827
11,👀,210073
12,♥,1641210
13,😆,97489
14,😭,1704011
15,😒,483344
16,◀,60342
17,👋,103937
18,😁,408976
19,👍,359988
20,😉,174278
21,😐,102133
22,✌,427663
23,👅,80661
24,🙅,72242
25,😏,366505
26,👯,62973
27,💕,1169454
28,😖,52299
29,😴,224754
30,💯,354705
31,😝,104728
32,😪,110179
33,😘,759962
34,💓,304842
35,🙈,322470
36,💭,78675
37,🙇,55566
38,🌀,68702
39,♻,63156
40,💖,450828
41,🌸,532133
42,🐷,26523
43,💝,40928
44,😲,22821
45,✔,715530
46,💀,228733
47,😕,91097
48,😃,104849
49,⚽,46663
50,🙏,484434
51,🌺,133779
52,😈,129157
53,☺,530474
54,✋,271277
55,😩,719032
56,💫,89829
57,✖,107687
58,😊,571988
59,🌵,29865
60,🆗,12221
61,😋,172958
62,😔,324827
63,🌎,178631
64,💤,47958
65,💛,351870
66,😫,133839
67,👮,5505
68,👇,163948
69,✨,655280
70,💁,191390
71,♂,20729
72,😇,46889
73,👌,640593
74,😎,205610
75,💑,50385
76,💍,49890
77,😷,76999
78,🌹,283412
79,©,457538
80,😤,105812
81,🙆,73756
82,💏,73255
83,〰,7029
84,😵,23037
85,💪,128038
86,🍆,48011
87,😱,232223
88,✅,92712
89,⚡,125192
90,🔥,330834
91,➡,81764
92,⬅,42247
93,⬇,22918
94,🛁,1109
95,🙀,16681
96,🔪,40302
97,💦,143041
98,😳,274430
99,💥,211492
100,😧,23929
101,😿,25210
102,💗,346376
103,😨,43955
104,❗,125591
105,☝,90742
106,🎶,208077
107,📓,4031
108,✏,11835
109,👊,163480
110,🌿,121252
111,👑,116639
112,💅,36803
113,🍴,14578
114,💢,195265
115,💨,61030
116,🙋,191881
117,🙊,187148
118,👪,12979
119,📷,17935
120,😑,125116
121,🚗,16853
122,🐮,6323
123,🌛,8628
124,👧,16016
125,🍕,199084
126,😄,182656
127,✂,14843
128,🚶,70732
129,😹,71717
130,🗿,9016
131,🐵,14648
132,🍌,44665
133,🌙,38511
134,🌻,126948
135,👆,83838
136,🔴,111946
137,💔,244371
138,🔫,113819
139,🍦,17903
140,💟,40420
141,👎,70075
142,💆,22752
143,‼,280906
144,⭕,390789
145,⚾,16330
146,😞,108358
147,⚪,53421
148,🔘,7684
149,👐,46562
150,🍮,5284
151,💄,15141
152,⭐,85208
153,✊,85252
154,🍎,17461
155,😬,54372
156,♀,7980
157,🍑,19762
158,👩,17422
159,👸,28523
160,😠,52085
161,🎉,230322
162,😀,50562
163,💣,36351
164,💜,444747
165,😣,56079
166,🌍,24132
167,☁,53142
168,💙,640119
169,✈,78234
170,👿,14256
171,💋,206263
172,😻,127854
173,🙉,41601
174,🐄,2146
175,🌰,3654
176,👭,46584
177,⤵,6876
178,🍣,6931
179,🍱,3936
180,🍚,3785
181,👣,55064
182,❓,16700
183,®,17489
184,🏈,52968
185,👫,65427
186,😙,37667
187,👈,76946
188,🌈,43387
189,💚,217237
190,▶,60539
191,😶,39080
192,😟,23155
193,🌾,25515
194,💎,176708
195,😢,180481
196,🏄,7819
197,🎆,9443
198,🌴,124500
199,🚘,6827
200,💮,9230
201,🎵,68251
202,⚫,23061
203,🚩,27377
204,🌐,24859
205,🎊,58750
206,😜,168478
207,☑,103418
208,😚,90911
209,🌞,80302
210,💃,127717
211,❄,60348
212,⚜,116
213,🍃,112770
214,🍸,13466
215,💊,10007
216,🍺,23148
217,🍻,35501
218,🍫,17097
219,🍝,9381
220,🎂,42370
221,🍖,6867
222,🍟,33667
223,🍤,8023
224,🍨,4380
225,🍩,21907
226,🍪,24994
227,🍲,3704
228,🍛,4993
229,🍥,13777
230,🍳,6848
231,🍭,29102
232,🍔,28193
233,🍬,13032
234,🍗,13858
235,🍰,19360
236,🍜,7229
237,👽,109046
238,😰,44755
239,🎼,37993
240,🏃,68568
241,👼,49217
242,😡,141055
243,☕,47791
244,👉,111353
245,👴,9324
246,⁉,24509
247,🐱,35393
248,💰,112751
249,🙍,17380
250,♣,42084
251,🐸,45229
252,🐯,37418
253,🌳,10060
254,🏀,31036
255,🎀,75082
256,🐴,5797
257,🐙,14391
258,🔌,3807
259,🚿,5312
260,🌟,163156
261,⛅,15308
262,✉,6177
263,❌,42953
264,📲,11016
265,😓,55171
266,🎮,41297
267,🌊,37714
268,🐳,23113
269,🐠,13329
270,🎧,50019
271,🍧,8231
272,✳,34414
273,📖,7965
274,◽,2070
275,👲,3961
276,⛄,22253
277,🎈,68092
278,🎁,34824
279,🐍,15808
280,😥,58758
281,💵,15186
282,😸,12745
283,👺,3942
284,☔,22821
285,♏,2331
286,👦,10470
287,☮,5396
288,™,22185
289,♦,127760
290,😛,62475
291,💐,45601
292,🐣,11438
293,👃,5204
294,🚾,534
295,✒,4504
296,Ⓜ,384835
297,🏆,21095
298,🌜,7917
299,😽,14987
300,👄,21068
301,👨,13691
302,💸,34614
303,💉,14486
304,🐇,3228
305,🏉,2044
306,🎱,4102
307,🎾,4611
308,🎤,52890
309,🚑,1945
310,🚡,246
311,🚨,55836
312,🚦,2125
313,🔰,3498
314,⚠,47305
315,🚧,2148
316,🚺,1799
317,🍉,40541
318,✡,20474
319,💲,5756
320,🔱,11675
321,👷,2041
322,🐹,3957
323,🍀,150431
324,🍓,24773
325,✍,3574
326,😼,12363
327,👓,7547
328,🆓,2877
329,😾,5860
330,🐧,227164
331,🐆,1817
332,😮,19471
333,💒,3384
334,👰,10088
335,↖,3369
336,🐼,24563
337,😦,13265
338,↔,1879
339,🏂,1617
340,🌑,13742
341,🌝,44484
342,❣,14871
343,🌽,5562
344,🎎,1913
345,☣,3922
346,📞,19518
347,💩,63715
348,🌃,5577
349,🎣,3737
350,🏊,13504
351,🍁,38789
352,🚂,5749
353,🏠,4898
354,⬜,5400
355,👂,6585
356,🕜,380
357,📰,957
358,🌅,6917
359,💂,9649
360,🐨,11514
361,🐩,3371
362,🌌,17699
363,🍒,28102
364,🚆,935
365,🍵,3683
366,☯,360606
367,🔋,9350
368,🔦,2284
369,👟,9653
370,📱,19449
371,💻,4317
372,🐦,5477
373,🔑,5112
374,💬,9202
375,▪,11250
376,🎬,7520
377,🔐,17579
378,👻,35081
379,🐰,15297
380,👳,10455
381,🚕,2171
382,🐝,17555
383,🌷,51553
384,🃏,2003
385,🐜,7603
386,🍹,15703
387,💷,2620
388,🚤,1576
389,↗,9094
390,😗,43506
391,💧,35380
392,🍷,13645
393,🍊,11354
394,🍄,12849
395,🌲,14766
396,🐲,2463
397,🎩,6387
398,💾,286
399,🌱,8881
400,😺,8876
401,🐽,7920
402,🎇,5541
403,🍍,38184
404,☹,24366
405,🍂,28533
406,🚣,3064
407,🐤,7078
408,🆖,2932
409,⛽,7175
410,🅰,6478
411,🅱,2258
412,🐎,6016
413,⤴,19923
414,🚫,18873
415,🍙,3403
416,🔮,49574
417,👶,20617
418,👙,13471
419,🐾,19142
420,🎷,2824
421,🐻,16640
422,👔,3008
423,🔺,13861
424,🌂,2685
425,🎡,2539
426,🛀,2725
427,👜,3303
428,🎭,4246
429,👞,4353
430,🐒,15584
431,🐥,20188
432,🐔,7167
433,⏰,4160
434,👬,18640
435,🚼,2036
436,👤,3304
437,🔆,20833
438,🚍,3414
439,🐘,20508
440,🔞,6153
441,🔁,4051
442,👵,10221
443,🚜,753
444,👗,7700
445,💳,3711
446,👚,2006
447,🎽,1669
448,☎,23114
449,🚭,768
450,🌄,3007
451,🗽,3039
452,⬆,7777
453,🐞,3632
454,📚,14221
455,🔃,3502
456,🎥,28857
457,🔄,11920
458,🐑,6507
459,🐢,37838
460,🐛,5377
461,🚽,2397
462,◼,7343
463,🙎,7168
464,🏡,6835
465,💌,11336
466,🚬,18044
467,🆒,8798
468,🌔,6242
469,🌘,5634
470,🌒,6447
471,🌗,5970
472,🌓,6869
473,🌕,10443
474,🌖,5619
475,💇,8626
476,🔏,320
477,👠,10203
478,👛,3176
479,🍶,874
480,🎌,2486
481,🎋,3014
482,🎴,702
483,📝,7750
484,💺,1925
485,↪,4857
486,🌏,14253
487,📛,1017
488,🚀,30086
489,😯,14736
490,💿,31598
491,🎐,5345
492,🔙,5579
493,🐶,42537
494,📌,8471
495,🔓,2809
496,🍅,6443
497,💡,5005
498,📣,4471
499,⛺,4109
500,👒,3488
501,🔻,16903
502,🏤,843
503,🏁,4138
504,🚙,5859
505,☂,3162
506,📴,1165
507,㊗,136591
508,㊙,27378
509,🚚,2104
510,🚅,1191
511,🏧,771
512,⌚,4720
513,🚲,3792
514,📎,2174
515,💼,1741
516,🚌,1820
517,📁,443
518,⛵,4204
519,🏢,1348
520,🕛,1223
521,🆎,325
522,🔅,7593
523,✴,11372
524,♍,4400
525,🐉,2432
526,🕧,418
527,🍯,3994
528,🔒,5528
529,☄,3511
530,🎺,2304
531,⏩,5876
532,❕,8852
533,🐪,2186
534,👱,5785
535,🔕,393
536,⛳,3227
537,☃,1618
538,↙,3730
539,🌠,10532
540,🔊,16983
541,☪,4195
542,🚥,2714
543,⛔,6215
544,🚮,4487
545,🐺,4435
546,♌,2525
547,👥,3480
548,🕑,1000
549,🔜,2980
550,➕,5600
551,🍏,7566
552,🍞,8138
553,🍋,18564
554,🍈,2250
555,🍠,2108
556,🍐,3209
557,🍇,19103
558,📩,2147
559,🚃,3248
560,🎲,2205
561,🚷,1362
562,📢,23682
563,♈,2468
564,⚓,14551
565,🎰,788
566,💠,12555
567,👖,6038
568,👡,2069
569,🎫,506
570,🔹,13531
571,🚋,4086
572,🏩,3978
573,➰,4819
574,🎓,18785
575,🐋,5879
576,📋,657
577,🐟,14683
578,🐬,29550
579,🐭,4952
580,🐚,8193
581,🐫,1886
582,🐗,2437
583,🐡,1402
584,🌼,43828
585,👾,64118
586,🈯,1482
587,🎹,6402
588,⏪,2569
589,🐅,3721
590,🕢,282
591,🕟,421
592,↘,5728
593,🚓,4071
594,🎸,57970
595,🏥,1547
596,🏨,693
597,🎃,14743
598,🔯,1413
599,➖,7249
600,🔈,584
601,🎑,639
602,🔭,970
603,🚴,2069
604,🎪,1326
605,🔎,908
606,🌇,2855
607,🐊,4142
608,📍,4725
609,📀,4473
610,🆙,2499
611,♠,16961
612,🔬,715
613,♎,1409
614,🌉,1995
615,🗼,1320
616,📺,6550
617,🍼,5258
618,🍡,3073
619,🍘,1125
620,🍢,2064
621,🏇,2363
622,🔨,3763
623,🏫,1485
624,🚢,2158
625,♨,12357
626,✝,2190
627,☠,5602
628,👘,1499
629,💈,2065
630,🎢,2649
631,📻,1676
632,🆘,16794
633,🆔,2058
634,🔵,34856
635,🔧,1103
636,♋,2129
637,🈹,5604
638,❔,2477
639,〽,2994
640,🐌,3301
641,🔛,4896
642,🚔,2208
643,🌁,1473
644,◻,5740
645,🔩,1055
646,🐃,1122
647,💴,2882
648,🌋,4429
649,♊,1476
650,♉,1228
651,🅾,8383
652,🕝,406
653,♒,1580
654,♑,1794
655,♓,1252
656,♐,1255
657,⚰,1391
658,💽,3004
659,🔲,25130
660,🐖,2455
661,🔶,6289
662,🔸,8373
663,🚄,1310
664,🎨,4997
665,📡,877
666,↩,3537
667,👕,4216
668,⏳,1926
669,🏯,567
670,🐓,4467
671,🎏,1207
672,🎅,7650
673,👹,7369
674,🎄,7524
675,🔔,2161
676,📹,3364
677,📼,706
678,👢,2282
679,➗,428
680,🚝,460
681,🕤,313
682,🚛,2248
683,🚇,1186
684,⌛,2108
685,↕,785
686,🎯,4190
687,🕒,1415
688,🕙,596
689,🕥,453
690,🕗,462
691,🕠,339
692,🕣,250
693,🔝,16930
694,💶,2392
695,🗾,389
696,🎒,1749
697,🅿,620
698,❇,4810
699,➿,1679
700,📄,492
701,🔇,1156
702,📵,627
703,❎,4282
704,📧,1058
705,🔂,348
706,🚈,406
707,🚏,379
708,🚐,691
709,🚒,1137
710,🆚,2089
711,⏬,1115
712,🔼,448
713,📦,1575
714,📆,668
715,📬,537
716,🐏,2541
717,🏰,1345
718,🐐,2196
719,📶,1431
720,🈶,778
721,🐕,2477
722,🐈,3225
723,◾,2904
724,📯,477
725,🎳,1524
726,🎠,1910
727,⛱,21
728,🔚,1012
729,📙,1124
730,📗,1206
731,📘,1459
732,👝,768
733,☸,1512
734,🔽,1149
735,🌆,1635
736,🉐,1210
737,🔠,315
738,🎦,516
739,🐀,1328
740,☢,916
741,📮,797
742,📤,145
743,🚁,1136
744,🚠,191
745,📇,224
746,🚊,637
747,🚞,477
748,📃,371
749,🔖,3056
750,⛲,515
751,📥,923
752,🚎,452
753,🚉,1195
754,📑,374
755,🗻,2133
756,🔍,1018
757,🚖,1034
758,🏮,701
759,🚟,160
760,🕕,598
761,▫,4949
762,🔳,3052
763,🕡,249
764,🕞,300
765,🕘,460
766,📒,13464
767,🔢,569
768,⚗,479
769,♿,791
770,🕔,794
771,🕖,546
772,🕐,909
773,🔷,7588
774,🐂,1606
775,🚹,1305
776,⛪,1229
777,🏭,331
778,🚻,724
779,🚪,1704
780,🕓,919
781,🈴,788
782,📪,163
783,🏬,483
784,📜,1075
785,☘,191
786,📳,738
787,🏪,1166
788,📏,551
789,📐,718
790,🔤,221
791,📅,1038
792,📫,251
793,🚰,153
794,🆕,2309
795,🐁,809
796,🈳,1463
797,⬛,2520
798,🏣,304
799,🔟,1122
800,🈂,209
801,🉑,167
802,📨,1137
803,🚵,511
804,🎿,1133
805,📉,347
806,🈚,703
807,📊,541
808,🎻,1790
809,🈲,477
810,⌨,96
811,📕,2599
812,📔,1236
813,📭,180
814,⚙,228
815,🔉,678
816,🕚,569
817,🏦,657
818,🔗,2368
819,📈,772
820,🕦,351
821,🎍,1436
822,🈺,303
823,🖕,65
824,🔀,240
825,📠,258
826,🚸,378
827,🀄,370
828,🔣,151
829,⏫,212
830,🈵,684
831,🈸,122
832,🈷,152
833,🚳,507
834,🚯,134
835,⛎,214
836,🆑,385
837,⚒,15
838,💱,516
839,⛈,46
840,📂,882
841,📟,485
842,⚛,451
